Car_type,Kms_driven,No_of_owners,Car_name,Car_model,Model_Year,Car_price,Fuel_type,Insurance_type,Transmission,Mileage,Engine,Max_power,Color,Seating_capacity,City
Hatchback,120000,3,Maruti,Maruti Celerio,2015,400000,Petrol,Third Party insurance,Manual,23.1,998,67.04,White,5,Bangalore
SUV,32706,2,Ford,Ford Ecosport,2018,811000,Petrol,Comprehensive,Manual,17.0,1497,121.31,White,5,Bangalore
Hatchback,11949,1,Tata,Tata Tiago,2018,585000,Petrol,Comprehensive,Manual,23.84,1199,84.0,Red,5,Bangalore
Sedan,17794,1,Hyundai,Hyundai Xcent,2014,462000,Petrol,Comprehensive,Manual,19.1,1197,81.86,Others,5,Bangalore
SUV,60000,1,Maruti,Maruti SX4 S Cross,2015,790000,Diesel,Third Party insurance,Manual,23.65,1248,88.5,Gray,5,Bangalore
SUV,20000,1,Jeep,Jeep Compass,2020,1900000,Diesel,Third Party insurance,Manual,17.1,1956,170.0,Others,5,Bangalore
Hatchback,37772,1,Datsun,Datsun GO,2017,345000,Petrol,Comprehensive,Manual,20.63,1198,67.0,Grey,5,Bangalore
SUV,30000,1,Hyundai,Hyundai Venue,2021,1200000,Petrol,Third Party insurance,Automatic,18.15,998,118.35,Others,5,Bangalore
Sedan,37000,1,Maruti,Maruti Ciaz,2018,960000,Petrol,Comprehensive,Automatic,20.28,1462,103.25,Maroon,5,Bangalore
Hatchback,11949,1,Tata,Tata Tiago,2017,585000,Petrol,Comprehensive,Manual,23.84,1199,84.0,Red,5,Bangalore
Hatchback,50000,1,Maruti,Maruti Baleno,2018,690000,Petrol,Third Party insurance,Manual,21.4,1197,83.1,Red,5,Bangalore
Hatchback,24887,1,Hyundai,Hyundai Grand i10,2019,682000,Petrol,Third Party insurance,Automatic,18.9,1197,81.86,Orange,5,Bangalore
Hatchback,23000,1,Honda,Honda Jazz,2018,825000,Petrol,Comprehensive,Automatic,18.2,1199,88.7,Grey,5,Bangalore
Hatchback,48928,1,Tata,Tata Tiago,2018,595000,Petrol,Comprehensive,Automatic,23.84,1199,83.83,Red,5,Bangalore
SUV,108862,3,Mahindra,Mahindra XUV500,2014,690000,Diesel,Comprehensive,Manual,15.1,2179,140.0,Silver,7,Bangalore
SUV,80000,1,Jeep,Jeep Compass,2018,1350000,Diesel,Third Party insurance,Manual,17.1,1956,170.0,Others,5,Bangalore
SUV,16000,1,Mercedes-Benz,Mercedes-Benz GLA,2022,5595000,Diesel,Comprehensive,Automatic,17.1,1950,187.74,Blue,5,Bangalore
Hatchback,65376,2,Hyundai,Hyundai i20,2014,521000,Diesel,Comprehensive,Manual,21.27,1396,88.76,Blue,5,Bangalore
SUV,10000,1,Tata,Tata Nexon,2022,1005000,Petrol,Third Party insurance,Manual,17.33,1199,118.35,Others,5,Bangalore
Sedan,67000,2,Honda,Honda City,2016,775000,Petrol,Comprehensive,Manual,17.8,1497,117.3,Brown,5,Bangalore
Sedan,100000,3,BMW,BMW 5 Series,2011,2200000,Diesel,Third Party insurance,Automatic,18.48,1995,177.0,White,5,Bangalore
Hatchback,18083,1,Maruti,Maruti Swift,2016,582000,Petrol,Comprehensive,Manual,22.38,1197,88.5,Silver,5,Bangalore
SUV,30000,1,Renault,Renault Duster,2020,1090000,Petrol,Third Party insurance,Manual,16.42,1498,104.55,Others,5,Bangalore
Hatchback,57634,2,Tata,Tata Tiago,2016,457000,Petrol,Comprehensive,Manual,23.84,1199,84.0,Silver,5,Bangalore
Sedan,50000,2,Mercedes-Benz,Mercedes-Benz S-Class,2016,4900000,Petrol,Third Party insurance,Automatic,7.81,4663,453.26,Others,5,Bangalore
Sedan,110000,1,Honda,Honda City,2015,550000,Petrol,Third Party insurance,Manual,17.4,1497,117.3,Others,5,Bangalore
Hatchback,23447,1,Hyundai,Hyundai Santro,2018,570000,Petrol,Comprehensive,Automatic,20.3,1086,68.0,Yellow,5,Bangalore
Hatchback,30000,2,Hyundai,Hyundai Santro Xing,2009,220000,LPG,Third Party insurance,Manual,13.45,1086,62.1,Others,5,Bangalore
Sedan,33000,1,Mercedes-Benz,Mercedes-Benz E-Class,2017,4145000,Petrol,Comprehensive,Automatic,15.0,1991,194.4,White,5,Bangalore
SUV,87667,2,Mahindra,Mahindra XUV500,2014,861000,Diesel,Third Party,Manual,15.1,2179,140.0,Black,7,Bangalore
Sedan,40000,2,Audi,Audi A4,2016,1785000,Diesel,Third Party insurance,Automatic,17.11,1968,174.33,Others,5,Bangalore
SUV,79012,2,Mahindra,Mahindra XUV500,2014,802999,Diesel,Comprehensive,Manual,15.1,2179,140.0,Silver,7,Bangalore
SUV,31344,1,Jeep,Jeep Compass,2021,2565000,Diesel,Comprehensive,Manual,17.1,1956,167.67,Black,5,Bangalore
Sedan,50000,1,Hyundai,Hyundai Xcent,2018,674000,Petrol,Third Party insurance,Manual,20.14,1197,81.86,Others,5,Bangalore
Hatchback,12434,1,Maruti,Maruti Wagon R,2015,349000,Petrol,Comprehensive,Manual,20.51,998,67.04,Brown,5,Bangalore
MUV,60000,2,Maruti,Maruti Ertiga,2019,1050000,Petrol,Third Party insurance,Manual,19.34,1462,103.0,Others,7,Bangalore
Sedan,12000,1,Mercedes-Benz,Mercedes-Benz C-Class,2019,4425000,Diesel,Comprehensive,Automatic,12.6,1950,194.0,White,5,Bangalore
Hatchback,40987,2,Maruti,Maruti Wagon R,2015,405999,Petrol,Comprehensive,Manual,20.51,998,67.04,White,5,Bangalore
Sedan,18157,1,BMW,BMW 5 Series,2020,4965000,Petrol,Zero Dep,Automatic,15.56,1998,248.08,Blue,5,Bangalore
SUV,120000,3,Toyota,Toyota Fortuner,2011,1100000,Diesel,Third Party insurance,Manual,11.5,2982,171.0,Others,7,Bangalore
SUV,40000,2,Renault,Renault Duster,2020,1100000,Diesel,Third Party insurance,Automatic,19.87,1461,108.5,Others,5,Bangalore
Hatchback,89667,1,Hyundai,Hyundai i20,2016,594000,Petrol,Comprehensive,Manual,18.6,1197,81.83,White,5,Bangalore
Hatchback,120000,1,Hyundai,Hyundai i20,2017,710000,Diesel,Third Party insurance,Manual,22.54,1396,88.73,Others,5,Bangalore
Hatchback,56997,1,Maruti,Maruti Baleno,2017,692000,Petrol,Zero Dep,Manual,21.4,1197,83.1,Blue,5,Bangalore
Sedan,120000,1,Hyundai,Hyundai Elantra,2013,650000,Petrol,Third Party insurance,Manual,16.3,1797,147.5,Others,5,Bangalore
Sedan,59000,1,Audi,Audi A6,2015,2089999,Diesel,Third Party insurance,Automatic,18.53,1968,187.74,White,5,Bangalore
Hatchback,18835,1,Maruti,Maruti Alto 800,2021,411000,Petrol,Zero Dep,Manual,22.05,796,47.33,Silver,5,Bangalore
SUV,120000,2,Mahindra,Mahindra Scorpio,2010,650000,Diesel,Third Party insurance,Manual,12.05,2179,120.0,Gray,7,Bangalore
Hatchback,40000,1,Mini,Mini 3 DOOR,2016,3675000,Petrol,Comprehensive,Automatic,17.33,1998,189.08,White,4,Bangalore
Hatchback,60932,1,Tata,Tata Tiago,2019,610000,Petrol,Comprehensive,Manual,23.84,1199,83.83,Red,5,Bangalore
SUV,33539,2,Kia,Kia Seltos,2020,1675000,Petrol,Comprehensive,Automatic,16.5,1353,138.08,White,5,Bangalore
Hatchback,66837,2,Tata,Tata Tiago,2018,530000,Petrol,Comprehensive,Manual,23.84,1199,84.0,Brown,5,Bangalore
Sedan,400,1,Mercedes-Benz,Mercedes-Benz E-Class,2022,7990000,Diesel,Third Party,Automatic,23.84,2925,281.61,White,5,Bangalore
Hatchback,60000,2,Maruti,Maruti Alto,2008,250000,Petrol,Third Party insurance,Manual,19.7,796,46.3,Others,5,Bangalore
Hatchback,44285,1,Hyundai,Hyundai i20,2019,715000,Petrol,Third Party insurance,Manual,18.6,1197,81.86,Grey,5,Bangalore
SUV,100000,2,Mercedes-Benz,Mercedes-Benz GL-Class,2014,3500000,Diesel,Third Party insurance,Automatic,11.3,2987,254.8,Others,7,Bangalore
SUV,25000,1,Tata,Tata New Safari,2021,2250000,Diesel,Comprehensive,Automatic,14.08,1956,167.67,White,6,Bangalore
Hatchback,36735,1,Hyundai,Hyundai Grand i10,2018,625000,Petrol,Comprehensive,Manual,18.9,1197,81.86,Blue,5,Bangalore
SUV,79000,1,Audi,Audi Q7,2015,2695000,Diesel,Comprehensive,Automatic,12.07,2967,241.4,White,7,Bangalore
SUV,120000,2,Mahindra,Mahindra Scorpio,2010,650000,Diesel,Third Party insurance,Manual,12.05,2179,120.0,Gray,8,Bangalore
Hatchback,10000,1,Renault,Renault KWID,2022,550000,Petrol,Third Party insurance,Automatic,22.0,999,67.0,Others,5,Bangalore
SUV,53645,1,Tata,Tata Nexon,2018,825000,Diesel,Comprehensive,Manual,21.5,1497,108.5,White,5,Bangalore
Hatchback,100000,2,Hyundai,Hyundai Getz,2006,220000,Petrol,Third Party insurance,Manual,15.3,1341,83.0,Others,5,Bangalore
Hatchback,53982,1,Maruti,Maruti Celerio,2014,428000,Petrol,Comprehensive,Automatic,26.68,998,65.71,Others,5,Bangalore
Sedan,110000,1,Skoda,Skoda Rapid,2014,695000,Diesel,Third Party insurance,Manual,21.14,1498,103.52,Black,5,Bangalore
SUV,37741,2,Ford,Ford Ecosport,2019,930000,Petrol,Third Party insurance,Manual,15.9,1496,120.69,White,5,Bangalore
Hatchback,17367,1,Maruti,Maruti Alto 800,2021,455000,Petrol,Comprehensive,Manual,22.05,796,47.33,Silver,5,Bangalore
SUV,94000,1,Hyundai,Hyundai Creta,2017,1195000,Diesel,Comprehensive,Manual,19.67,1582,126.2,Grey,5,Bangalore
SUV,33700,1,Tata,Tata Harrier,2021,2175000,Diesel,Comprehensive,Automatic,14.6,1956,167.67,Grey,5,Bangalore
Hatchback,54601,3,Maruti,Maruti Swift,2014,442000,Petrol,Comprehensive,Manual,22.38,1197,88.5,White,5,Bangalore
Hatchback,110000,1,Maruti,Maruti Swift,2018,690000,Diesel,Third Party insurance,Manual,28.4,1248,74.0,Others,5,Bangalore
Hatchback,64000,2,Maruti,Maruti Celerio,2017,500000,Petrol,Third Party,Manual,23.1,998,67.04,Red,5,Bangalore
Sedan,40525,1,BMW,BMW 3 Series GT,2016,3395000,Diesel,Comprehensive,Automatic,21.76,1995,188.0,White,5,Bangalore
Sedan,100000,1,Maruti,Maruti Ciaz,2015,650000,Diesel,Third Party insurance,Manual,26.21,1248,88.5,White,5,Bangalore
Hatchback,44154,2,Honda,Honda Jazz,2016,537000,Petrol,Comprehensive,Automatic,19.0,1199,88.7,White,5,Bangalore
MUV,70000,1,Renault,Renault Lodgy,2016,750000,Diesel,Third Party insurance,Manual,19.98,1461,108.5,White,7,Bangalore
Sedan,79000,1,Skoda,Skoda Octavia,2018,1789999,Petrol,Comprehensive,Automatic,15.1,1798,178.0,White,5,Bangalore
Hatchback,68039,2,Tata,Tata Tiago,2017,468000,Petrol,Third Party insurance,Manual,23.84,1199,84.0,Orange,5,Bangalore
Hatchback,60000,2,Maruti,Maruti Ritz,2014,420000,Petrol,Third Party insurance,Manual,18.5,1197,85.8,Silver,5,Bangalore
Hatchback,60000,2,Maruti,Maruti Ritz,2014,420000,Petrol,Third Party insurance,Manual,18.5,1197,85.8,Silver,5,Bangalore
Hatchback,10000,1,Hyundai,Hyundai i20,2021,919999,Petrol,Third Party insurance,Manual,20.0,998,118.36,Others,5,Bangalore
Sedan,49873,1,Honda,Honda City,2013,533000,Petrol,Third Party,Manual,16.8,1497,116.3,Yellow,5,Bangalore
