Car_type,Kms_driven,No_of_owners,Car_name,Car_model,Model_Year,Car_price,Fuel_type,Insurance_type,Transmission,Mileage,Engine,Max_power,Color,Seating_capacity
SUV,10000,1,Kia,Kia Seltos,2022,1900000,Diesel,Third Party insurance,Automatic,18.0,1493,113.43,Gray,5
SUV,57437,2,Hyundai,Hyundai Creta,2016,762000,Petrol,Zero Dep,Manual,15.29,1591,121.3,White,5
SUV,8000,1,Mercedes-Benz,Mercedes-Benz GLC,2020,5600000,Petrol,Comprehensive,Automatic,12.74,1991,197.0,Grey,5
Hatchback,28151,2,Maruti,Maruti Swift,2018,523000,Petrol,Comprehensive,Manual,22.38,1197,88.5,Silver,5
SUV,60000,1,Hyundai,Hyundai Creta,2017,765000,Petrol,Third Party insurance,Manual,15.29,1591,121.3,White,5
SUV,20000,1,Kia,Kia Sonet,2021,894999,Petrol,Comprehensive,Manual,18.4,1197,81.86,White,5
Sedan,42682,1,Hyundai,Hyundai Aura,2021,708000,CNG,Third Party,Manual,28.0,1197,68.05,White,5
Hatchback,44653,1,Volkswagen,Volkswagen Polo,2017,400000,Petrol,Comprehensive,Manual,18.78,1198,74.0,Grey,5
Hatchback,7000,1,Hyundai,Hyundai Grand i10 Nios,2022,725000,CNG,Comprehensive,Manual,18.78,1197,67.72,White,5
Hatchback,67823,1,Maruti,Maruti Baleno,2019,663000,Petrol,Third Party insurance,Manual,21.01,1197,81.8,White,5
Hatchback,50000,1,Honda,Honda Brio,2014,390000,Petrol,Comprehensive,Automatic,16.5,1198,86.8,Silver,5
SUV,97055,1,Nissan,Nissan Kicks,2019,784000,Diesel,Comprehensive,Manual,20.45,1461,108.5,Grey,5
Sedan,114000,1,Toyota,Toyota Camry,2017,2100000,Petrol,Comprehensive,Automatic,19.16,2494,157.7,Silver,5
SUV,24000,1,Kia,Kia Sonet,2022,1350000,Diesel,Zero Dep,Manual,19.16,1493,98.63,Black,5
Sedan,30000,1,BMW,BMW 5 Series,2016,2350000,Diesel,Third Party insurance,Automatic,18.12,1995,190.0,Blue,5
Hatchback,6000,1,Mini,Mini Cooper SE,2023,4600000,Electric,Comprehensive,Automatic,18.12,0,181.03,Grey,4
MUV,7000,1,Toyota,Toyota Innova Crysta,2022,2250000,Petrol,Comprehensive,Manual,8.0,2694,163.6,White,7
SUV,34000,1,MG,MG Gloster,2021,3500000,Diesel,Comprehensive,Automatic,12.4,1996,215.01,Black,7
SUV,29000,1,BMW,BMW X1,2013,900000,Diesel,Third Party insurance,Automatic,17.05,1995,184.0,White,5
SUV,38000,1,Mercedes-Benz,Mercedes-Benz GLC,2020,5245000,Petrol,Comprehensive,Automatic,12.74,1991,197.0,Black,5
SUV,150000,1,Tata,Tata Safari Storme,2013,350000,Diesel,Third Party insurance,Manual,14.0,2179,138.1,Others,7
SUV,83329,1,Hyundai,Hyundai Venue,2019,839000,Diesel,Comprehensive,Manual,23.7,1396,88.7,Silver,5
Hatchback,43000,1,Maruti,Maruti Zen Estilo,2008,120000,Petrol,Third Party insurance,Manual,18.2,1061,64.0,Medium Blue,5
Hatchback,8000,1,Hyundai,Hyundai Grand i10 Nios,2022,750000,Petrol,Third Party insurance,Manual,20.7,1197,81.86,White,5
SUV,11404,1,Skoda,Skoda Kushaq,2021,1284000,Petrol,Comprehensive,Automatic,17.2,999,113.98,Red,5
SUV,70000,2,Hyundai,Hyundai Creta,2019,850000,Petrol,Third Party insurance,Manual,13.0,1591,121.3,White,5
Hatchback,23000,1,Tata,Tata Altroz,2023,869999,Diesel,Comprehensive,Manual,23.64,1497,88.77,Red,5
Hatchback,19044,1,Maruti,Maruti Ignis,2022,634000,Petrol,Comprehensive,Manual,20.89,1197,81.8,Blue,5
Sedan,23500,1,BMW,BMW 7 Series,2017,7500000,Petrol,Comprehensive,Automatic,12.5,2998,321.84,Blue,5
SUV,17367,1,Hyundai,Hyundai Creta,2019,1250000,Petrol,Comprehensive,Manual,15.8,1591,121.3,White,5
SUV,3800,1,Kia,Kia Seltos,2020,1325000,Diesel,Third Party insurance,Manual,20.8,1493,113.43,Grey,5
Sedan,45000,1,BMW,BMW 3 Series GT,2017,3215000,Petrol,Comprehensive,Automatic,15.34,1998,248.0,White,5
Hatchback,43124,2,Hyundai,Hyundai Grand i10,2014,421000,Petrol,Comprehensive,Automatic,18.9,1197,82.0,Red,5
SUV,20000,1,Mahindra,Mahindra XUV500,2020,1300000,Diesel,Third Party insurance,Manual,15.1,2179,152.87,Others,7
SUV,60000,1,Hyundai,Hyundai Creta,2017,1000000,Diesel,Third Party insurance,Automatic,17.01,1582,126.2,Black,5
Hatchback,36000,1,Maruti,Maruti Baleno,2018,600000,Petrol,Third Party,Manual,21.01,1197,81.8,Grey,5
Hatchback,44559,1,Hyundai,Hyundai Grand i10,2015,495000,Petrol,Third Party insurance,Automatic,18.9,1197,82.0,Silver,5
SUV,10000,1,MG,MG Hector Plus,2022,2050000,Petrol,Third Party insurance,Manual,14.025,1451,141.0,Others,6
Hatchback,37587,1,Tata,Tata Altroz,2021,627000,Petrol,Comprehensive,Manual,19.33,1199,86.83,Grey,5
Sedan,90000,1,Honda,Honda Amaze,2016,340000,Petrol,Third Party insurance,Manual,17.8,1198,86.7,White,5
Hatchback,73786,1,Hyundai,Hyundai i10,2010,190000,Petrol,Comprehensive,Manual,20.36,1197,78.9,Grey,5
Sedan,50000,1,Toyota,Toyota Corolla Altis,2009,300000,Petrol,Third Party insurance,Automatic,14.53,1794,138.1,Silver,5
Hatchback,22000,1,Maruti,Maruti Swift,2018,575000,Petrol,Third Party insurance,Manual,21.21,1197,81.8,Grey,5
Hatchback,38103,1,Maruti,Maruti Baleno,2019,743000,Petrol,Comprehensive,Automatic,19.56,1197,81.8,Blue,5
Hatchback,15000,1,Maruti,Maruti Ignis,2022,645000,Petrol,Third Party insurance,Manual,20.89,1197,81.8,White,5
MUV,69000,1,Toyota,Toyota Innova Crysta,2018,1700000,Diesel,Comprehensive,Automatic,11.36,2755,171.5,Brown,7
Hatchback,48327,2,Hyundai,Hyundai Grand i10,2013,359000,Petrol,Comprehensive,Manual,18.9,1197,82.0,Orange,5
Hatchback,40000,1,Maruti,Maruti Zen Estilo,2008,120000,Petrol,Third Party insurance,Manual,18.2,1061,64.0,Others,5
SUV,38967,1,Kia,Kia Seltos,2020,1121000,Petrol,Third Party insurance,Manual,16.5,1353,138.08,Grey,5
SUV,50000,1,Kia,Kia Seltos,2020,1375000,Diesel,Comprehensive,Manual,20.8,1493,113.43,White,5
Hatchback,33000,1,Maruti,Maruti Baleno,2016,525000,Petrol,Comprehensive,Manual,21.01,1197,81.8,Grey,5
Sedan,70000,1,Toyota,Toyota Etios,2014,375000,Petrol,Comprehensive,Manual,16.78,1496,88.73,White,5
Hatchback,120000,3,Maruti,Maruti Wagon R,2006,90000,Petrol,Third Party insurance,Manual,18.9,998,67.1,Others,5
SUV,72000,1,Isuzu,Isuzu MU-X,2018,1698999,Diesel,Comprehensive,Automatic,13.8,2999,175.0,White,7
SUV,58511,1,Hyundai,Hyundai Creta,2017,894999,Petrol,Comprehensive,Manual,15.29,1591,121.3,Silver,5
Sedan,60000,1,Maruti,Maruti Swift Dzire,2014,409999,Diesel,Third Party insurance,Manual,23.4,1248,74.0,Gray,5
SUV,40000,3,Mahindra,Mahindra Scorpio,2019,1250000,Diesel,Third Party insurance,Manual,16.36,2179,140.0,White,7
Hatchback,43500,1,Maruti,Maruti Swift,2019,525000,Petrol,Comprehensive,Manual,22.0,1197,81.8,Blue,5
Sedan,68192,1,Maruti,Maruti Swift Dzire,2019,625000,Petrol,Comprehensive,Manual,17.5,1298,85.8,Grey,5
SUV,100000,3,Mahindra,Mahindra XUV500,2017,850000,Diesel,Third Party insurance,Manual,16.0,1997,140.0,Others,7
Hatchback,74872,1,Honda,Honda Jazz,2015,340000,Diesel,Comprehensive,Manual,27.3,1498,98.6,Alabaster Silver Metallic,5
