Car_type,Kms_driven,No_of_owners,Car_name,Car_model,Model_Year,Car_price,Fuel_type,Insurance_type,Transmission,Mileage,Engine,Max_power,Color,Seating_capacity
Hatchback,20000,1,Volkswagen,Volkswagen Polo,2022,1044000,Petrol,Third Party insurance,Automatic,16.47,999,108.62,Others,5
Hatchback,85582,2,Hyundai,Hyundai EON,2014,260000,Petrol,Third Party insurance,Manual,21.1,814,55.2,Red,5
SUV,10000,1,Hyundai,Hyundai Venue,2023,955000,Petrol,Third Party insurance,Manual,21.1,1197,81.8,Others,5
Hatchback,50750,1,Maruti,Maruti Baleno,2017,671000,Petrol,Third Party insurance,Manual,21.4,1197,83.1,Red,5
SUV,10000,1,Mahindra,Mahindra Thar,2022,1900000,Petrol,Third Party insurance,Automatic,21.4,1997,150.0,Others,4
SUV,10000,1,Kia,Kia Sonet,2021,1178000,Petrol,Third Party insurance,Manual,18.2,998,118.36,White,5
Hatchback,66366,1,Maruti,Maruti Celerio,2017,488999,Petrol,Zero Dep,Automatic,23.1,998,67.04,White,5
Sedan,5000,1,Hyundai,Hyundai Verna,2022,1541000,Petrol,Third Party insurance,Automatic,19.2,998,118.41,Black,5
Hatchback,72544,1,Maruti,Maruti Celerio,2017,465000,Petrol,Third Party,Manual,23.1,998,67.04,White,5
Hatchback,29154,1,Ford,Ford Figo,2021,728000,Petrol,Third Party,Manual,18.5,1194,94.93,Maroon,5
Hatchback,70000,1,Tata,Tata Tiago,2018,530000,Petrol,Third Party insurance,Automatic,23.84,1199,83.83,Orange,5
Hatchback,33730,1,Datsun,Datsun RediGO,2021,466000,Petrol,Third Party insurance,Manual,21.7,999,67.05,Blue,5
Hatchback,51113,1,Renault,Renault KWID,2020,457000,Petrol,Comprehensive,Manual,23.01,999,67.0,Blue,5
Hatchback,40000,2,Volkswagen,Volkswagen Polo,2013,350000,Diesel,Third Party insurance,Manual,22.07,1199,73.9,Others,5
Hatchback,40000,1,Maruti,Maruti Wagon R,2009,290000,Petrol,Third Party insurance,Manual,18.9,1061,67.0,Others,5
SUV,60000,1,BMW,BMW X1,2020,3800000,Diesel,Third Party insurance,Automatic,20.68,1995,188.0,Others,5
Hatchback,64500,1,Maruti,Maruti Wagon R,2014,375000,Petrol,Comprehensive,Manual,21.79,998,67.05,Brown,5
Hatchback,40000,1,Maruti,Maruti Wagon R,2020,600000,Petrol,Third Party insurance,Manual,21.79,998,67.05,White,5
