Car_type,Kms_driven,No_of_owners,Car_name,Car_model,Model_Year,Car_price,Fuel_type,Insurance_type,Transmission,Mileage,Engine,Max_power,Color,Seating_capacity
Hatchback,120000,2,Hyundai,Hyundai i20,2015,509999,Diesel,Third Party insurance,Manual,22.54,1396,88.73,Others,5
Hatchback,66951,1,Maruti,Maruti Swift,2012,381000,Petrol,Third Party,Manual,22.38,1197,88.5,White,5
Hatchback,80000,2,Maruti,Maruti Celerio,2016,320000,Petrol,Third Party insurance,Automatic,23.1,998,67.04,Others,5
Hatchback,44392,1,Hyundai,Hyundai Grand i10,2017,420000,Petrol,Third Party insurance,Manual,18.9,1197,81.86,Silver,5
Hatchback,40000,1,Maruti,Maruti Wagon R,2016,350000,Petrol,Third Party insurance,Automatic,20.51,998,67.0,Silver,5
Sedan,150000,2,Hyundai,Hyundai Verna,2007,150000,Diesel,Third Party insurance,Manual,16.8,1493,108.4952,Gray,5
Sedan,91771,2,Hyundai,Hyundai Xcent,2016,488999,Petrol,Comprehensive,Manual,19.1,1197,82.0,White,5
Sedan,90000,1,Skoda,Skoda Superb,2011,425000,Diesel,Third Party insurance,Automatic,17.2,1968,138.1,Others,5
SUV,58621,1,BMW,BMW X1,2014,1375000,Diesel,Comprehensive,Automatic,17.05,1995,184.0,Brown,5
Sedan,90000,1,Skoda,Skoda Superb,2011,450000,Diesel,Third Party insurance,Automatic,17.2,1968,138.1,Others,5
Hatchback,120000,3,Hyundai,Hyundai i20,2013,350000,Diesel,Third Party insurance,Manual,21.9,1396,88.76,Others,5
Sedan,120000,1,Tata,Tata Zest,2017,449000,Diesel,Third Party insurance,Manual,22.95,1248,74.0,Others,5
Hatchback,53165,1,Hyundai,Hyundai i10,2011,295000,Petrol,Comprehensive,Automatic,16.95,1197,78.9,Grey,5
Sedan,13500,1,BMW,BMW 5 Series,2020,5890000,Diesel,Comprehensive,Automatic,20.37,1995,187.74,Black,5
Sedan,44210,1,BMW,BMW 7 Series,2020,10500000,Diesel,Comprehensive,Automatic,16.77,2993,261.49,Black,5
Sedan,63255,1,Skoda,Skoda Superb,2017,1989999,Diesel,Comprehensive,Automatic,18.19,1984,174.5,Brown,5
Sedan,79215,1,Maruti,Maruti Swift Dzire,2015,475000,Diesel,Third Party insurance,Manual,26.59,1248,74.0,Grey,5
SUV,200,1,Hyundai,Hyundai Creta,2023,2000000,Petrol,Third Party insurance,Automatic,26.59,1497,113.18,Black,5
SUV,40000,1,Mahindra,Mahindra XUV300,2019,900000,Petrol,Third Party insurance,Manual,17.0,1197,110.0,Others,5
SUV,40000,1,Tata,Tata Nexon,2021,950000,Petrol,Third Party insurance,Automatic,17.05,1199,118.35,Others,5
SUV,60000,1,Tata,Tata Harrier,2020,1900000,Diesel,Third Party insurance,Manual,16.35,1956,167.67,Others,5
Sedan,92721,1,Volkswagen,Volkswagen Ameo,2017,436000,Petrol,Third Party,Manual,17.0,1198,73.75,White,5
SUV,90000,1,Hyundai,Hyundai Creta,2016,1000000,Diesel,Third Party insurance,Manual,19.67,1582,126.2,Others,5
Hatchback,34644,1,Volkswagen,Volkswagen Polo,2012,252000,Petrol,Third Party insurance,Manual,16.47,1198,73.9,Red,5
Hatchback,23000,2,Maruti,Maruti Baleno,2021,685000,Petrol,Comprehensive,Manual,21.01,1197,81.8,Grey,5
Sedan,100000,1,Honda,Honda City,2015,550000,Petrol,Third Party insurance,Manual,17.4,1497,117.3,Others,5
Sedan,95000,2,Honda,Honda Amaze,2018,699000,Diesel,Comprehensive,Automatic,23.8,1498,78.9,White,5
Sedan,69000,1,Maruti,Maruti Swift Dzire,2018,750000,Diesel,Comprehensive,Manual,28.4,1248,74.02,White,5
Hatchback,22000,1,Maruti,Maruti Alto 800,2018,325000,Petrol,Comprehensive,Manual,24.7,796,47.3,White,5
Sedan,85000,2,BMW,BMW 5 Series,2012,1300000,Diesel,Third Party insurance,Automatic,18.48,1995,174.57864,Black,5
SUV,90000,2,Skoda,Skoda Kodiaq,2017,2250000,Diesel,Third Party insurance,Automatic,16.25,1968,148.0,Gray,7
SUV,82243,1,BMW,BMW X5,2017,4600000,Diesel,Comprehensive,Automatic,15.3,2993,258.0,White,5
Hatchback,63000,2,Hyundai,Hyundai i20,2013,375000,Petrol,Comprehensive,Manual,18.5,1197,82.85,White,5
Hatchback,77177,1,Maruti,Maruti Baleno,2016,560000,Diesel,Comprehensive,Manual,27.39,1248,74.0,Red,5
Sedan,28368,1,Volkswagen,Volkswagen Vento,2011,590000,Diesel,Comprehensive,Manual,20.54,1598,103.6,White,5
SUV,40000,1,Renault,Renault Kiger,2022,555000,Petrol,Third Party insurance,Manual,19.17,999,71.01,Others,5
SUV,9690,1,BMW,BMW X1,2022,4200000,Petrol,Comprehensive,Automatic,14.82,1998,189.08,Black,5
Hatchback,40000,2,Tata,Tata Nano,2011,60000,Petrol,Third Party insurance,Manual,26.0,624,35.0,Others,4
Hatchback,40000,1,Maruti,Maruti Swift,2019,600000,Petrol,Third Party insurance,Manual,21.21,1197,81.8,Others,5
Hatchback,80000,2,Hyundai,Hyundai EON,2011,170000,Petrol,Third Party insurance,Manual,21.1,814,55.2,White,5
Hatchback,62761,1,Volkswagen,Volkswagen Polo,2014,343000,Diesel,Comprehensive,Manual,22.07,1199,73.9,Silver,5
Hatchback,45075,1,Maruti,Maruti Wagon R,2019,544000,Petrol,Zero Dep,Manual,20.52,1197,81.8,Silver,5
SUV,36882,1,Mahindra,Mahindra XUV300,2021,990000,Petrol,Comprehensive,Manual,16.82,1197,108.62,Silver,5
Hatchback,82030,1,Hyundai,Hyundai Grand i10,2015,469000,Petrol,Comprehensive,Manual,18.9,1197,82.0,White,5
Hatchback,31469,1,Maruti,Maruti Baleno,2017,716000,Petrol,Third Party insurance,Automatic,21.4,1197,83.1,Silver,5
SUV,20000,1,Maruti,Maruti SX4 S Cross,2022,1000000,Petrol,Third Party insurance,Manual,18.55,1462,103.25,Blue,5
Hatchback,70000,3,Chevrolet,Chevrolet Spark,2010,150000,Petrol,Third Party insurance,Manual,18.0,995,62.0,Others,5
Hatchback,120000,1,Hyundai,Hyundai i20,2014,305000,Diesel,Third Party insurance,Manual,21.9,1396,88.76,Others,5
Sedan,120000,2,Maruti,Maruti Swift Dzire,2017,550000,Diesel,Third Party insurance,Manual,26.59,1248,74.0,Others,5
SUV,90000,3,Audi,Audi Q3,2014,1300000,Diesel,Third Party insurance,Automatic,15.73,1968,174.33,Others,5
Hatchback,70000,5,Honda,Honda Brio,2012,290000,Petrol,Third Party insurance,Manual,19.4,1198,86.8,Others,5
Sedan,90000,2,Hyundai,Hyundai Verna,2013,550000,Diesel,Third Party insurance,Manual,22.32,1582,126.32,Others,5
Sedan,100000,2,Hyundai,Hyundai Accent,2011,210000,LPG,Third Party insurance,Manual,13.2,1495,93.7,Others,5
MUV,70000,1,Maruti,Maruti XL6,2020,910000,Petrol,Third Party insurance,Manual,19.01,1462,103.2,White,6
Hatchback,80000,1,Maruti,Maruti Wagon R,2010,225000,Petrol,Third Party insurance,Manual,18.9,1061,67.0,Others,5
Hatchback,43336,1,Hyundai,Hyundai i20,2018,725000,Petrol,Comprehensive,Manual,18.6,1197,81.86,Grey,5
MUV,120000,2,Mahindra,Mahindra Marazzo,2018,570000,Diesel,Third Party insurance,Manual,17.3,1497,121.0,Gray,8
Sedan,40000,2,Honda,Honda City,2020,1200000,Petrol,Third Party insurance,Automatic,18.3,1498,119.35,Black,5
SUV,90000,2,Tata,Tata Nexon,2018,721000,Petrol,Third Party insurance,Manual,17.0,1198,108.5,White,5
Hatchback,21659,1,Honda,Honda Jazz,2021,775000,Petrol,Third Party insurance,Manual,17.1,1199,88.5,White,5
SUV,80000,1,Maruti,Maruti Vitara Brezza,2017,740000,Diesel,Third Party insurance,Manual,24.3,1248,88.5,Gray,5
Hatchback,63662,1,Maruti,Maruti Baleno,2018,732000,Petrol,Third Party insurance,Automatic,21.4,1197,83.1,Silver,5
MUV,188000,2,Toyota,Toyota Innova,2012,650000,Diesel,Comprehensive,Manual,12.99,2494,100.0,Grey,8
Sedan,82058,1,Jaguar,Jaguar XJ,2019,5890000,Diesel,Comprehensive,Automatic,14.47,2993,301.73,Black,5
SUV,67847,1,Maruti,Maruti SX4 S Cross,2019,850000,Diesel,Comprehensive,Manual,25.1,1248,88.5,Grey,5
SUV,59627,1,Kia,Kia Seltos,2020,1650000,Diesel,Comprehensive,Automatic,18.0,1493,113.43,Black,5
