Car_type,Kms_driven,No_of_owners,Car_name,Car_model,Model_Year,Car_price,Fuel_type,Insurance_type,Transmission,Mileage,Engine,Max_power,Color,Seating_capacity
Sedan,70000,3,Toyota,Toyota Camry,2014,975000,Petrol,Third Party insurance,Automatic,19.16,2494,158.2,White,5
Hatchback,23981,1,Datsun,Datsun RediGO,2017,266000,Petrol,Comprehensive,Manual,22.7,799,53.64,Red,5
SUV,7100,1,Renault,Renault Kiger,2021,595000,Petrol,Comprehensive,Automatic,19.03,999,71.01,Blue,5
Hatchback,71574,2,Hyundai,Hyundai i20,2011,223000,Petrol,Third Party,Manual,17.0,1197,78.90559999999999,Red,5
SUV,50000,2,Audi,Audi Q3,2014,1200000,Diesel,Third Party insurance,Automatic,15.73,1968,174.33,White,5
Hatchback,35629,1,Maruti,Maruti Wagon R,2018,425000,Petrol,Comprehensive,Automatic,20.52,1197,81.8,Brown,5
Hatchback,11476,2,Hyundai,Hyundai Santro,2020,596000,Petrol,Comprehensive,Automatic,20.3,1086,68.05,Silver,5
Hatchback,31000,1,Renault,Renault KWID,2018,250000,Petrol,Third Party insurance,Manual,25.17,799,53.3,Silver,5
Sedan,41005,2,Maruti,Maruti Swift Dzire,2011,221000,Petrol,Comprehensive,Manual,17.5,1298,85.8,Silver,5
Hatchback,60055,1,Maruti,Maruti Wagon R,2010,208000,Petrol,Third Party,Manual,18.9,998,67.1,Red,5
Hatchback,65005,1,Maruti,Maruti Swift,2013,311000,Petrol,Comprehensive,Manual,18.6,1197,85.8,Grey,5
Hatchback,2657,1,Renault,Renault KWID,2022,463999,Petrol,Third Party,Manual,22.3,799,53.26,Red,5
Hatchback,16000,1,Hyundai,Hyundai i10,2011,204999,Petrol,Comprehensive,Manual,19.81,1086,68.05,Grey,5
SUV,7426,1,Tata,Tata Harrier,2023,2175000,Diesel,Comprehensive,Automatic,14.6,1956,167.67,Red,5
Hatchback,27046,1,Maruti,Maruti Baleno,2018,643000,Petrol,Comprehensive,Automatic,21.4,1197,83.1,Silver,5
