Car_type,Kms_driven,No_of_owners,Car_name,Car_model,Model_Year,Car_price,Fuel_type,Insurance_type,Transmission,Mileage,Engine,Max_power,Color,Seating_capacity
Hatchback,120000,3,Maruti,Maruti Celerio,2015,400000,Petrol,Third Party insurance,Manual,23.1,998,67.04,White,5
SUV,32706,2,Ford,Ford Ecosport,2018,811000,Petrol,Comprehensive,Manual,17.0,1497,121.31,White,5
Hatchback,11949,1,Tata,Tata Tiago,2018,585000,Petrol,Comprehensive,Manual,23.84,1199,84.0,Red,5
Sedan,17794,1,Hyundai,Hyundai Xcent,2014,462000,Petrol,Comprehensive,Manual,19.1,1197,81.86,Others,5
SUV,60000,1,Maruti,Maruti SX4 S Cross,2015,790000,Diesel,Third Party insurance,Manual,23.65,1248,88.5,Gray,5
SUV,20000,1,Jeep,Jeep Compass,2020,1900000,Diesel,Third Party insurance,Manual,17.1,1956,170.0,Others,5
Hatchback,37772,1,Datsun,Datsun GO,2017,345000,Petrol,Comprehensive,Manual,20.63,1198,67.0,Grey,5
SUV,30000,1,Hyundai,Hyundai Venue,2021,1200000,Petrol,Third Party insurance,Automatic,18.15,998,118.35,Others,5
Sedan,37000,1,Maruti,Maruti Ciaz,2018,960000,Petrol,Comprehensive,Automatic,20.28,1462,103.25,Maroon,5
Hatchback,11949,1,Tata,Tata Tiago,2017,585000,Petrol,Comprehensive,Manual,23.84,1199,84.0,Red,5
Hatchback,50000,1,Maruti,Maruti Baleno,2018,690000,Petrol,Third Party insurance,Manual,21.4,1197,83.1,Red,5
Hatchback,24887,1,Hyundai,Hyundai Grand i10,2019,682000,Petrol,Third Party insurance,Automatic,18.9,1197,81.86,Orange,5
Hatchback,23000,1,Honda,Honda Jazz,2018,825000,Petrol,Comprehensive,Automatic,18.2,1199,88.7,Grey,5
Hatchback,48928,1,Tata,Tata Tiago,2018,595000,Petrol,Comprehensive,Automatic,23.84,1199,83.83,Red,5
SUV,108862,3,Mahindra,Mahindra XUV500,2014,690000,Diesel,Comprehensive,Manual,15.1,2179,140.0,Silver,7
SUV,80000,1,Jeep,Jeep Compass,2018,1350000,Diesel,Third Party insurance,Manual,17.1,1956,170.0,Others,5
SUV,16000,1,Mercedes-Benz,Mercedes-Benz GLA,2022,5595000,Diesel,Comprehensive,Automatic,17.1,1950,187.74,Blue,5
Hatchback,65376,2,Hyundai,Hyundai i20,2014,521000,Diesel,Comprehensive,Manual,21.27,1396,88.76,Blue,5
SUV,10000,1,Tata,Tata Nexon,2022,1005000,Petrol,Third Party insurance,Manual,17.33,1199,118.35,Others,5
Sedan,67000,2,Honda,Honda City,2016,775000,Petrol,Comprehensive,Manual,17.8,1497,117.3,Brown,5
Sedan,100000,3,BMW,BMW 5 Series,2011,2200000,Diesel,Third Party insurance,Automatic,18.48,1995,177.0,White,5
Hatchback,18083,1,Maruti,Maruti Swift,2016,582000,Petrol,Comprehensive,Manual,22.38,1197,88.5,Silver,5
SUV,30000,1,Renault,Renault Duster,2020,1090000,Petrol,Third Party insurance,Manual,16.42,1498,104.55,Others,5
Hatchback,57634,2,Tata,Tata Tiago,2016,457000,Petrol,Comprehensive,Manual,23.84,1199,84.0,Silver,5
Sedan,50000,2,Mercedes-Benz,Mercedes-Benz S-Class,2016,4900000,Petrol,Third Party insurance,Automatic,7.81,4663,453.26,Others,5
Sedan,110000,1,Honda,Honda City,2015,550000,Petrol,Third Party insurance,Manual,17.4,1497,117.3,Others,5
Hatchback,23447,1,Hyundai,Hyundai Santro,2018,570000,Petrol,Comprehensive,Automatic,20.3,1086,68.0,Yellow,5
Hatchback,30000,2,Hyundai,Hyundai Santro Xing,2009,220000,LPG,Third Party insurance,Manual,13.45,1086,62.1,Others,5
Sedan,33000,1,Mercedes-Benz,Mercedes-Benz E-Class,2017,4145000,Petrol,Comprehensive,Automatic,15.0,1991,194.4,White,5
SUV,87667,2,Mahindra,Mahindra XUV500,2014,861000,Diesel,Third Party,Manual,15.1,2179,140.0,Black,7
Sedan,40000,2,Audi,Audi A4,2016,1785000,Diesel,Third Party insurance,Automatic,17.11,1968,174.33,Others,5
SUV,79012,2,Mahindra,Mahindra XUV500,2014,802999,Diesel,Comprehensive,Manual,15.1,2179,140.0,Silver,7
SUV,31344,1,Jeep,Jeep Compass,2021,2565000,Diesel,Comprehensive,Manual,17.1,1956,167.67,Black,5
Sedan,50000,1,Hyundai,Hyundai Xcent,2018,674000,Petrol,Third Party insurance,Manual,20.14,1197,81.86,Others,5
Hatchback,12434,1,Maruti,Maruti Wagon R,2015,349000,Petrol,Comprehensive,Manual,20.51,998,67.04,Brown,5
