Car_type,Kms_driven,No_of_owners,Car_name,Car_model,Model_Year,Car_price,Fuel_type,Insurance_type,Transmission,Engine,Max_power,Color,Seating_capacity,Mileage
SUV,20000,1,Kia,Kia Sonet,2022,1150000,Petrol,Third Party insurance,Automatic,998,118.36,Black,5,
Minivans,20687,1,Maruti,Maruti Eeco,2015,415000,Petrol,Comprehensive,Manual,1196,73.0,Grey,7,15.37
SUV,30000,1,Nissan,Nissan Magnite,2021,750000,Petrol,Third Party insurance,Manual,999,98.63,Others,5,20.0
Hatchback,59247,1,Hyundai,Hyundai i10,2015,398000,Petrol,Comprehensive,Manual,1086,68.05,Silver,5,19.81
Hatchback,50000,1,Honda,Honda Jazz,2015,550000,Petrol,Third Party insurance,Manual,1199,88.7,Others,5,18.7
Sedan,20000,1,Mercedes-Benz,Mercedes-Benz E-Class,2016,3300000,Diesel,Comprehensive,Automatic,2143,204.0,White,5,13.0
Hatchback,29403,1,Maruti,Maruti Celerio,2016,453000,Petrol,Comprehensive,Automatic,998,67.04,Blue,5,23.1
Hatchback,42700,1,Maruti,Maruti A-Star,2010,285000,Petrol,Comprehensive,Manual,998,66.1,Grey,5,19.0
SUV,23001,1,BMW,BMW X3,2018,5000000,Diesel,Comprehensive,Automatic,1995,187.7,Grey,5,16.55
SUV,25925,2,Ford,Ford Ecosport,2018,821000,Petrol,Comprehensive,Automatic,1497,121.36,Black,5,14.8
Hatchback,20000,1,Hyundai,Hyundai i20,2021,865000,Petrol,Third Party insurance,Manual,1197,81.8,Blue,5,21.0
Hatchback,17711,1,Honda,Honda Jazz,2019,792000,Petrol,Comprehensive,Automatic,1199,88.7,Silver,5,18.2
Sedan,50000,1,BMW,BMW 3 Series,2020,4050000,Diesel,Comprehensive,Automatic,1995,187.74,White,5,20.37
Hatchback,50000,1,Maruti,Maruti Swift,2018,610000,Petrol,Third Party insurance,Manual,1197,81.8,Others,5,22.0
Hatchback,51125,2,Hyundai,Hyundai Grand i10,2018,511000,Petrol,Comprehensive,Manual,1197,81.86,White,5,18.9
SUV,69233,1,Tata,Tata Nexon,2019,710000,Diesel,Comprehensive,Manual,1497,108.5,Orange,5,21.5
SUV,65000,1,Jeep,Jeep Compass,2017,1225000,Diesel,Comprehensive,Manual,1956,167.67,White,5,17.1
Sedan,93281,1,Honda,Honda City,2014,570000,Petrol,Comprehensive,Manual,1497,117.3,Brown,5,17.4
SUV,18000,1,Toyota,Toyota Fortuner,2022,3900000,Diesel,Comprehensive,Manual,2755,201.15,White,7,17.4
Sedan,99225,2,Honda,Honda Amaze,2014,375000,Petrol,Comprehensive,Manual,1198,86.7,White,5,18.0
Hatchback,30000,1,Hyundai,Hyundai EON,2016,275000,Petrol,Third Party insurance,Manual,998,68.05,Others,5,20.3
Sedan,30602,1,Honda,Honda Amaze,2014,429000,Petrol,Comprehensive,Manual,1198,86.7,Silver,5,18.0
